Ville,Nombre de Salons,Population
phalempin,1,4769
levet,1,1426
hamelincourt,1,260
le pradet,1,10415
richwiller,1,3750
zuydcoote,1,1736
blausasc,1,1602
lezoux,1,6225
vallauris,1,26834
muizon,1,2225
salvagnac,1,1192
petit-mars,1,3653
sainte-luce,1,43
sainte-luce,1,10037
giron,1,187
marines,1,3543
plateau d'hauteville,1,5031
lanmeur,1,2290
luttange,1,900
triaize,1,1025
plumergat,1,4205
massiac,1,1818
montereau-fault-yonne,1,20400
salbris,1,5268
nizas,1,158
nizas,1,685
seiches-sur-le-loir,1,3020
azincourt,1,311
sergy,1,2124
sergy,1,154
ansouis,1,1070
neuville-en-ferrain,1,10350
la ronde,1,1082
prugnanes,1,104
baisieux,1,4813
peyrieu,1,888
riotord,1,1191
chailland,1,1205
pujols,1,544
pujols,1,3770
bressols,1,3801
cheveuges,1,437
sainte-marie-aux-mines,1,5220
provins,1,12125
bournoncle-saint-pierre,1,1013
mauriac,1,3844
mauriac,1,249
boulange,1,2519
manziat,1,2012
couches,1,1381
saint-jean-de-nay,1,360
ibos,1,3032
croix-moligneaux,1,283
arques,1,257
arques,1,137
arques,1,9882
faleyras,1,430
salles-sur-mer,1,2211
val-de-dagne,1,750
origny-le-sec,1,617
crachier,1,523
norrent-fontes,1,1421
plourivo,1,2329
domgermain,1,1198
langrolay-sur-rance,1,949
samadet,1,1174
le grand-village-plage,1,1065
thourotte,1,4632
bormes-les-mimosas,1,8218
ingrandes,1,322
ingrandes,1,1787
saint-mandrier-sur-mer,1,5931
panazol,1,11180
vacheresse,1,872
ducos,1,17657
lassay-sur-croisne,1,258
valdahon,1,5692
burey,1,405
saint-broladre,1,1154
triel-sur-seine,1,12108
yvignac-la-tour,1,1185
nesle,1,2369
le gosier,1,27096
seichamps,1,5013
sains-en-gohelle,1,6183
villegenon,1,225
la tour-en-maurienne,1,1104
orbigny,1,747
meschers-sur-gironde,1,3174
arnaud-guilhem,1,234
fontainebleau,1,15323
airaines,1,2410
lacanche,1,571
pomerol,1,620
ratenelle,1,395
moncontour,1,876
moncontour,1,1006
bennecourt,1,1919
montfermeil,1,26889
grignols,1,682
grignols,1,1215
val-revermont,1,2654
soucieu-en-jarrest,1,4598
liancourt,1,6941
vendargues,1,6315
bailly-romainvilliers,1,7582
beuvrigny,1,138
chantenay-saint-imbert,1,1192
escragnolles,1,614
auby,1,7315
crouy,1,2952
malansac,1,2245
notre-dame-de-bondeville,1,7119
blanzy,1,6286
basse-pointe,1,3071
souppes-sur-loing,1,5498
marolles,1,790
marolles,1,743
marolles,1,912
marolles,1,694
montmeyran,1,3011
damprichard,1,1942
grez-sur-loing,1,1451
buxy,1,2221
gouzon,1,1600
tour-en-sologne,1,1133
brionne,1,4430
vauvert,1,11742
damvix,1,763
arleux,1,3244
saint-beauzire,1,420
saint-beauzire,1,2211
crisolles,1,955
pardies,1,871
mareuil-le-port,1,1184
landouzy-la-cour,1,187
divonne-les-bains,1,9878
vaiges,1,1180
maroilles,1,1426
noues de sienne,1,4523
belle-isle-en-terre,1,1050
lailly-en-val,1,3157
nouan-le-fuzelier,1,2367
monchy-au-bois,1,576
ouville,1,460
wadelincourt,1,478
flumet,1,839
luriecq,1,1328
charron,1,2012
charron,1,242
saint-loup-du-dorat,1,366
sathonay-camp,1,5993
bourcefranc-le-chapus,1,3573
geishouse,1,451
la chapelle-sur-erdre,1,20044
issus,1,605
oucques la nouvelle,1,1751
val d'oust,1,2780
montoir-de-bretagne,1,7166
biguglia,1,8050
vrigny,1,847
vrigny,1,232
roquefort,1,301
roquefort,1,1941
roquefort,1,1921
leers,1,9552
friville-escarbotin,1,4672
marcoussis,1,8300
joyeuse,1,1750
pierres,1,2839
pers-jussy,1,3142
saint-aubin-des-ormeaux,1,1351
miremont,1,2526
miremont,1,307
varennes-sur-seine,1,3532
annouville-vilmesnil,1,484
froncles,1,1545
meisenthal,1,716
teting-sur-nied,1,1340
coulaines,1,7548
saint-mamert-du-gard,1,1655
celles-sur-plaine,1,837
viriville,1,1652
mouzillon,1,2882
mittelschaeffolsheim,1,584
doucier,1,328
neufgrange,1,1420
launac,1,1416
